,0
10,"Jsem muž, je mi 41 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Karlovarském kraji, v okresu Karlovy Vary a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 60.001 - 80.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
11,"Jsem muž, je mi 49 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihočeském kraji, v okresu Tábor a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
12,"Jsem muž, je mi 21 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je Do 15.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
13,"Jsem muž, je mi 49 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
14,"Jsem muž, je mi 58 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
15,"Jsem muž, je mi 20 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek, podnikatel, živnostník, osvč a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
16,"Jsem muž, je mi 41 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Pardubickém kraji, v okresu Chrudim a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
17,"Jsem muž, je mi 54 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
18,"Jsem muž, je mi 64 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek, důchodce a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
19,"Jsem muž, je mi 41 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
20,"Jsem muž, je mi 51 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Vyškov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 60.001 - 80.000 Kč. Mám spíše dobrou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
21,"Jsem žena, je mi 25 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek, podnikatel, živnostník, osvč, student a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
22,"Jsem žena, je mi 29 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Příbram a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
23,"Jsem muž, je mi 21 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Pardubickém kraji, v okresu Chrudim a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je nan. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
24,"Jsem muž, je mi 63 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Královéhradeckém kraji, v okresu Trutnov a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem důchodce a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
25,"Jsem muž, je mi 56 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihočeském kraji, v okresu České Budějovice a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem bez zaměstnání, nehledající práci a příjem naší domácnosti je Do 15.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
26,"Jsem muž, je mi 50 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
27,"Jsem muž, je mi 22 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je Do 15.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
28,"Jsem muž, je mi 58 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek, invalidní důchodce a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
29,"Jsem muž, je mi 28 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Zlínském kraji, v okresu Vsetín a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
30,"Jsem žena, je mi 36 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihomoravském kraji, v okresu Hodonín a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
31,"Jsem žena, je mi 60 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na částečný úvazek a příjem naší domácnosti je Vice než 80.000 Kč. Mám velmi dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
32,"Jsem žena, je mi 29 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Olomouckém kraji, v okresu Olomouc a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
33,"Jsem žena, je mi 30 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Kraji Vysočina, v okresu Pelhřimov a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek, podnikatel, živnostník, osvč a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
34,"Jsem žena, je mi 55 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Středočeském kraji, v okresu Praha-východ a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem invalidní důchodce, v domácnosti a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
35,"Jsem muž, je mi 28 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Jihomoravském kraji, v okresu Brno-venkov a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
36,"Jsem žena, je mi 42 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Libereckém kraji, v okresu Liberec a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
37,"Jsem muž, je mi 42 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
38,"Jsem muž, je mi 48 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Olomouckém kraji, v okresu Prostějov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
39,"Jsem muž, je mi 27 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
40,"Jsem muž, je mi 44 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč, invalidní důchodce a příjem naší domácnosti je nan. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
41,"Jsem muž, je mi 44 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihočeském kraji, v okresu České Budějovice a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám velmi dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
42,"Jsem muž, je mi 47 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Brno-venkov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem podnikatel, živnostník, osvč a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
43,"Jsem muž, je mi 48 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Moravskoslezském kraji, v okresu Opava a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 60.001 - 80.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
44,"Jsem muž, je mi 43 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
45,"Jsem žena, je mi 22 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je Do 15.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
46,"Jsem muž, je mi 62 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 20.001 - 25.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
47,"Jsem žena, je mi 58 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Zlínském kraji, v okresu Zlín a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
48,"Jsem žena, je mi 21 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Zlínském kraji, v okresu Uherské Hradiště a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám velmi špatnou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
49,"Jsem muž, je mi 31 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Kraji Vysočina, v okresu Pelhřimov a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem bez zaměstnání, hledající práci, invalidní důchodce a příjem naší domácnosti je Do 15.000 Kč. Mám velmi špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
50,"Jsem muž, je mi 26 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Středočeském kraji, v okresu Praha-východ a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem bez zaměstnání, hledající práci a příjem naší domácnosti je 15.001 - 20.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
51,"Jsem muž, je mi 40 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Moravskoslezském kraji, v okresu Ostrava-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
52,"Jsem muž, je mi 29 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Zlínském kraji, v okresu Uherské Hradiště a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem na mateřské / rodičovské dovolené a příjem naší domácnosti je Do 15.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
53,"Jsem muž, je mi 19 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je 40.001 - 60.000 Kč. Mám velmi dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
54,"Jsem muž, je mi 60 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Plzeňském kraji, v okresu Plzeň-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
55,"Jsem muž, je mi 38 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Jihomoravském kraji, v okresu Brno-město a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek, podnikatel, živnostník, osvč a příjem naší domácnosti je Vice než 80.000 Kč. Mám velmi dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
56,"Jsem muž, je mi 24 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Zlínském kraji, v okresu Kroměříž a obci o velikosti 5.001 - 20.000 obyvatel. Z hlediska zaměstnání jsem student a příjem naší domácnosti je Do 15.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
57,"Jsem muž, je mi 37 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Středočeském kraji, v okresu Nymburk a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Nemám ani dobrou, ani špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
58,"Jsem žena, je mi 31 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Královéhradeckém kraji, v okresu Hradec Králové a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem na mateřské / rodičovské dovolené a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše špatnou životní úroveň. Vůbec se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
59,"Jsem muž, je mi 30 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Moravskoslezském kraji, v okresu Frýdek-Místek a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
60,"Jsem muž, je mi 53 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Moravskoslezském kraji, v okresu Frýdek-Místek a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 30.001 - 40.000 Kč. Mám spíše dobrou životní úroveň. Velmi se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
61,"Jsem muž, je mi 43 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Moravskoslezském kraji, v okresu Karviná a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je nan. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
62,"Jsem žena, je mi 44 let, mé vzdělání je vysokoškolské vzdělání. Žiji v Kraji Vysočina, v okresu Pelhřimov a obci o velikosti 1.000 - 5.000 obyvatel. Z hlediska zaměstnání jsem v domácnosti a příjem naší domácnosti je nan. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
63,"Jsem žena, je mi 55 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Praze, v okresu Praha a obci o velikosti Více než 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se zajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
64,"Jsem žena, je mi 32 let, mé vzdělání je základní + středoškolské vzdělání bez maturity. Žiji v Jihomoravském kraji, v okresu Vyškov a obci o velikosti Méně než 1.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je Do 15.000 Kč. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
65,"Jsem muž, je mi 24 let, mé vzdělání je středoškolské vzdělání s maturitou. Žiji v Ústeckém kraji, v okresu Děčín a obci o velikosti 20.001 - 100.000 obyvatel. Z hlediska zaměstnání jsem zaměstnanec na plný úvazek a příjem naší domácnosti je 25.001 - 30.000 Kč. Mám spíše dobrou životní úroveň. Spíše se nezajímám o politiku. Ve volbách do poslanecké sněmovny v roce 2021 jsem volil:"
